CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
370,42680,42680,"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL Metro Area",M1,1,G3110,1302197701,295585011,+27.7005283,-080.5747894
,42700,42700,"Sebring, FL","Sebring, FL Metro Area",M1,1,G3110,2632946297,231658824,+27.3426272,-081.3409213
,42820,42820,"Selma, AL","Selma, AL Micro Area",M2,2,G3110,2534807219,39134809,+32.3335397,-087.1143556
273,42860,42860,"Seneca, SC","Seneca, SC Micro Area",M2,2,G3110,1622113936,122274812,+34.7487713,-083.0615427
464,42900,42900,"Seneca Falls, NY","Seneca Falls, NY Micro Area",M2,2,G3110,838403626,172828921,+42.7822943,-076.8270880
314,42940,42940,"Sevierville, TN","Sevierville, TN Micro Area",M2,2,G3110,1534562013,13491050,+35.8018095,-083.5156955
294,42980,42980,"Seymour, IN","Seymour, IN Micro Area",M2,2,G3110,1319119300,11910481,+38.9119571,-086.0425161
267,43020,43020,"Shawano, WI","Shawano, WI Micro Area",M2,2,G3110,3239578623,60995753,+44.8515650,-088.7455190
416,43060,43060,"Shawnee, OK","Shawnee, OK Micro Area",M2,2,G3110,2040060549,14842439,+35.2113928,-096.9570070
,43100,43100,"Sheboygan, WI","Sheboygan, WI Metro Area",M1,1,G3110,1324200978,1968298008,+43.7459724,-087.7319856
172,43140,43140,"Shelby, NC","Shelby, NC Micro Area",M2,2,G3110,1202005999,10201815,+35.3346302,-081.5571145
206,44860,44860,"Sulphur Springs, TX","Sulphur Springs, TX Micro Area",M2,2,G3110,1987018121,66250826,+33.1489586,-095.5651936
400,43180,43180,"Shelbyville, TN","Shelbyville, TN Micro Area",M2,2,G3110,1226719728,2980817,+35.5136604,-086.4582939
500,43220,43220,"Shelton, WA","Shelton, WA Micro Area",M2,2,G3110,2484806996,237381766,+47.3541257,-123.1738498
,43260,43260,"Sheridan, WY","Sheridan, WY Micro Area",M2,2,G3110,6535475148,7986323,+44.7813692,-106.8812114
206,43300,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area",M1,1,G3110,2415996248,120112400,+33.6245240,-096.6756930
470,44900,44900,"Summerville, GA","Summerville, GA Micro Area",M2,2,G3110,811512405,570806,+34.4741785,-085.3452894
,43320,43320,"Show Low, AZ","Show Low, AZ Micro Area",M2,2,G3110,25770094276,24078111,+35.3907852,-110.3210248
,43340,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",M1,1,G3110,8257698073,324107729,+32.4906379,-093.6711914
482,44920,44920,"Summit Park, UT","Summit Park, UT Micro Area",M2,2,G3110,4844781940,26612504,+40.8720603,-110.9684862
212,43380,43380,"Sidney, OH","Sidney, OH Micro Area",M2,2,G3110,1055876814,7808224,+40.3366802,-084.2041425
,44940,44940,"Sumter, SC","Sumter, SC Metro Area",M1,1,G3110,1722537605,44054049,+33.9162531,-080.3822876
,43420,43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ Metro Area",M1,1,G3110,15966175635,137024922,+31.8401287,-109.7751627
